级别编码,级别名称,分类编号,分类名称,厚度,长度,宽度,吨位差
00102637,石家庄玉晶合格品,001,白玻,6,3300,2440,0.2
00102636,石家庄玉晶合格品,001,白玻,6,3300,2250,0.2
00102635,石家庄玉晶合格品,001,白玻,6,3300,2140,0.2
00102634,石家庄玉晶合格品,001,白玻,6,3210,2550,0.2
00102633,石家庄玉晶合格品,001,白玻,5,3660,2800,0.2
00102632,石家庄玉晶合格品,001,白玻,5,3660,2600,0.2
00102631,石家庄玉晶合格品,001,白玻,5,3660,2440,0.2
00102630,石家庄玉晶合格品,001,白玻,5,3660,2250,0.2
00102629,石家庄玉晶合格品,001,白玻,5,3660,2140,0.2
00102628,石家庄玉晶合格品,001,白玻,5,3300,2800,0.2
00102627,石家庄玉晶合格品,001,白玻,5,3300,2600,0.2
00102626,石家庄玉晶合格品,001,白玻,5,3300,2440,0.2
00102625,石家庄玉晶合格品,001,白玻,4.6,3660,2440,0.25
00102624,石家庄玉晶合格品,001,白玻,4.5,3660,2600,0.2
00102623,石家庄玉晶合格品,001,白玻,4.5,3660,2440,0.2
00102622,石家庄玉晶合格品,001,白玻,4.4,3660,2440,0.2
00102621,石家庄玉晶合格品,001,白玻,4.3,3660,2440,0.2
00102620,石家庄玉晶合格品,001,白玻,4.1,3660,2440,0.2
00102619,石家庄玉晶合格品,001,白玻,4,3660,2440,0.25
00102618,石家庄玉晶合格品,001,白玻,3.2,3660,2440,0.15
00102617,石家庄玉晶合格品,001,白玻,3.2,3500,2440,0.2
00102616,石家庄玉晶合格品,001,白玻,3,3660,2760,0.2
00102615,石家庄玉晶合格品,001,白玻,3,3660,2550,0.15
00102614,石家庄玉晶合格品,001,白玻,3,3660,2440,0.2
00102613,石家庄玉晶合格品,001,白玻,3,3660,2140,0.2
00102612,石家庄玉晶合格品,001,白玻,3,3550,2685,0.15
00102611,石家庄玉晶合格品,001,白玻,3,3515,1875,0.15
00102610,石家庄玉晶合格品,001,白玻,3,3475,2500,0.15
00102609,石家庄玉晶合格品,001,白玻,3,3450,2410,0.15
00102608,石家庄玉晶合格品,001,白玻,3,3300,2440,0.15
00102607,石家庄玉晶合格品,001,白玻,3,3300,2140,0.15
00102606,石家庄玉晶合格品,001,白玻,3,3210,2550,0.15
00102605,石家庄玉晶合格品,001,白玻,3,3210,2250,0.15
00102604,陕西神木一等品,001,白玻,12,3660,2440,0.2
00102603,神木瑞诚合格品,001,白玻,8,3660,2440,0.2
00102602,陕西神木一等品,001,白玻,12,3660,2140,0.2
00102601,陕西神木一等品,001,白玻,8,3660,2440,0.2
00102600,陕西神木一等品,001,白玻,6,3660,2800,0
00102599,陕西神木一等品,001,白玻,6,3660,2440,0
00102598,陕西神木一等品,001,白玻,6,3300,2440,0.2
00102597,陕西神木一等品,001,白玻,5,3660,2440,0.2
00102596,陕西神木一等品,001,白玻,5,3300,2440,0.2
00102595,陕西神木一等品,001,白玻,4,3300,2440,0.2
00102594,陕西神木一等品,001,白玻,4,3300,2200,0.2
00102593,陕西神木一等品,001,白玻,12,3660,2600,0.2
00102592,陕西神木一等品,001,白玻,12,3660,2134,0.2
00102591,陕西神木协议品,001,白玻,6,3660,2440,0.15
00102590,陕西神木二等品,001,白玻,8,3660,2600,0.2
00102589,陕西神木二等品,001,白玻,8,3660,2440,0.2
00102588,山西青春一等品,001,白玻,7.8,3660,2134,0.2
00102587,山西青春一等品,001,白玻,6,3660,2440,0.2
00102586,山西青春一等品,001,白玻,6,3660,2134,0
00102585,山西青春一等品,001,白玻,6,3300,2600,0.2
00102584,山西青春一等品,001,白玻,6,3300,2440,0.2
00102583,山西青春一等品,001,白玻,6,3300,2250,0.2
00102582,山西青春一等品,001,白玻,6,3300,2134,0.2
00102581,山西青春一等品,001,白玻,5,3300,2600,0.2
00102580,山西青春一等品,001,白玻,5,3300,2440,0.2
00102579,山西青春一等品,001,白玻,5,3300,2250,0.2
00102578,山西青春一等品,001,白玻,5,2440,1830,0.2
00102577,山西青春一等品,001,白玻,5,2200,2000,0.2
00102576,山西青春一等品,001,白玻,5,2200,1900,0.2
00102575,山西青春一等品,001,白玻,4.6,3300,2440,0
00102574,山西青春一等品,001,白玻,4.5,3660,2440,0.2
00102573,山西青春一等品,001,白玻,4.5,3660,2250,0.2
00102572,山西青春一等品,001,白玻,4.5,3660,2134,0.2
00102571,山西青春一等品,001,白玻,4.5,3300,2440,0.2
00102570,山西青春一等品,001,白玻,4.5,3300,2250,0.2
00102569,山西青春一等品,001,白玻,4.5,3300,2134,0.2
00102568,山西青春一等品,001,白玻,4.5,2440,1500,0.2
00102567,山西青春一等品,001,白玻,4.5,2200,1650,0.2
00102566,山西青春一等品,001,白玻,4.5,2200,1500,0.3
00102565,山西青春一等品,001,白玻,4.5,2200,1400,0.2
00102564,山西青春一等品,001,白玻,4.5,2134,1500,0.2
00102563,山西青春一等品,001,白玻,4.4,3660,2600,0.2
00102562,山西青春一等品,001,白玻,4.4,3660,2440,0.2
00102561,山西青春一等品,001,白玻,4.4,3660,2250,0.2
00102560,山西青春一等品,001,白玻,4.4,3660,2134,0.2
00102559,山西青春一等品,001,白玻,4.4,3300,2600,0.2
00102558,山西青春一等品,001,白玻,4.4,3300,2440,0.2
00102557,山西青春一等品,001,白玻,4.4,3300,2250,0.2
00102556,山西青春一等品,001,白玻,4.4,3300,2134,0.2
00102555,山西青春一等品,001,白玻,4.4,2440,1700,0.2
00102554,山西青春一等品,001,白玻,4.4,2440,1650,0.2
00102553,山西青春一等品,001,白玻,4.4,2440,1500,0.2
00102552,山西青春一等品,001,白玻,4.4,2440,1400,0.2
00102551,山西青春一等品,001,白玻,4.4,2200,1650,0.2
00102550,山西青春一等品,001,白玻,4.4,2200,1400,0.2
00102549,山西青春一等品,001,白玻,4.3,3300,2440,0.2
00102548,山西青春一等品,001,白玻,4.3,3300,2250,0.2
00102547,山西青春一等品,001,白玻,4.3,3300,2134,0.2
00102546,山西青春一等品,001,白玻,4.2,3660,2440,0.2
00102545,山西青春一等品,001,白玻,4.2,3300,2600,0.2
00102544,山西青春一等品,001,白玻,4.2,3300,2440,0.2
00102543,山西青春一等品,001,白玻,4.2,3300,2250,0.2
00102542,山西青春一等品,001,白玻,4.2,3300,2134,0.2
00102541,山西青春一等品,001,白玻,4.1,3300,2440,0.2
00102540,山西青春一等品,001,白玻,3.5,2440,2000,0.2
00102539,山西青春一等品,001,白玻,3.5,2440,1950,0.2
00102538,山西青春一等品,001,白玻,3.5,2440,1900,0.2
00102537,山西青春一等品,001,白玻,3.5,2440,1830,0.2
00102536,山西青春一等品,001,白玻,3.5,2440,1700,0.2
00102535,山西青春一等品,001,白玻,3.5,2440,1650,0.2
00102534,山西青春一等品,001,白玻,3.5,2200,2000,0.2
00102533,山西青春一等品,001,白玻,3.5,2200,1830,0.2
00102532,山西青春一等品,001,白玻,3.5,2200,1650,0.2
00102531,山西青春协议品,001,白玻,4.4,3660,2440,0.2
00102530,山西青春协议品,001,白玻,4.4,2440,2000,0.2
00102529,山西青春协议品,001,白玻,4.4,2440,1960,0.2
00102528,山西青春协议品,001,白玻,4.4,2440,1900,0.2
00102527,山西青春协议品,001,白玻,4.4,2440,1800,0.2
00102526,山西青春协议品,001,白玻,4.4,2440,1650,0.2
00102525,山西青春协议品,001,白玻,4.4,2440,1600,0.2
00102524,山西青春协议品,001,白玻,4.4,2200,2000,0.2
00102523,山西青春协议品,001,白玻,4.4,2200,1830,0.2
00102522,山西青春协议品,001,白玻,4.4,2200,1700,0.2
00102521,山西青春协议品,001,白玻,4.4,2200,1650,0.2
00102520,山西青春协议品,001,白玻,4.4,2200,1600,0.2
00102519,山西青春协议品,001,白玻,4.4,2200,1500,0.2
00102518,山西青春协议品,001,白玻,4.2,3300,2600,0.2
00102517,山西青春协议品,001,白玻,4.2,3300,2440,0.2
00102516,山西青春协议品,001,白玻,4,2200,1830,0.3
00102515,山西青春协议品,001,白玻,3.6,2440,1650,0.2
00102514,山西青春混装品,001,白玻,4.5,2440,1650,0.2
00102513,山西青春混装品,001,白玻,4.5,2200,1500,0.2
00102512,山西青春混装品,001,白玻,4.5,2200,1400,0.2
00102511,山西青春混装品,001,白玻,4.5,2134,1500,0.2
00102510,山西青春混装品,001,白玻,4.4,2440,2000,0.2
00102509,山西青春混装品,001,白玻,4.4,2440,1830,0.2
00102508,山西青春混装品,001,白玻,4.4,2440,1700,0.2
00102507,山西青春混装品,001,白玻,4.4,2440,1650,0.2
00102506,山西青春混装品,001,白玻,4.4,2440,1500,0
00102505,山西青春混装品,001,白玻,4.4,2200,2000,0.2
00102504,山西青春混装品,001,白玻,4.4,2200,1900,0.2
00102503,山西青春混装品,001,白玻,4.4,2200,1830,0.2
00102502,山西青春混装品,001,白玻,4.4,2200,1700,0.2
00102501,山西青春混装品,001,白玻,4.4,2200,1650,0.2
00102500,山西青春混装品,001,白玻,4.4,2200,1400,0.2
00102499,山西青春混装品,001,白玻,4.4,2134,1500,0.2
00102498,山西青春混装品,001,白玻,3.8,2200,1650,0.3
00102497,山西青春混装品,001,白玻,3.7,2200,2000,0.4
00102496,山西青春混装品,001,白玻,3.5,2440,2000,0.2
00102495,山西青春混装品,001,白玻,3.5,2440,1900,0.2
00102494,山西青春混装品,001,白玻,3.5,2440,1830,0.2
00102493,山西青春混装品,001,白玻,3.5,2440,1700,0.2
00102492,山西青春混装品,001,白玻,3.5,2440,1650,0.2
00102491,山西青春混装品,001,白玻,3.5,2200,2000,0.2
00102490,山西青春混装品,001,白玻,3.5,2200,1900,0.2
00102489,山西青春混装品,001,白玻,3.5,2200,1700,0.2
00102488,山西青春合格品,001,白玻,6,3660,2134,0
00102487,山西青春合格品,001,白玻,6,3600,2134,0
00102486,山西青春合格品,001,白玻,6,3300,2800,0
00102485,山西青春合格品,001,白玻,4.5,3300,2440,0.2
00102484,山西青春合格品,001,白玻,4.5,3300,2134,0.2
00102483,山西青春合格品,001,白玻,4.4,3660,2600,0.2
00102482,山西青春合格品,001,白玻,4.4,3660,2440,0.2
00102481,山西青春合格品,001,白玻,4.4,3660,2250,0.2
00102480,山西青春合格品,001,白玻,4.4,3660,2134,0.2
00102479,山西青春合格品,001,白玻,4.4,3300,2600,0.2
00102478,山西青春合格品,001,白玻,4.4,3300,2500,0.2
00102477,山西青春合格品,001,白玻,4.4,3300,2440,0.2
00102476,山西青春合格品,001,白玻,4.4,3300,2250,0.2
00102475,山西青春合格品,001,白玻,4.4,3300,2134,0.2
00102474,山西青春合格品,001,白玻,4.3,3300,2440,0.2
00102473,山西青春合格品,001,白玻,4.2,3660,2440,0.2
00102472,山西青春合格品,001,白玻,4.2,3300,2600,0.2
00102471,山西青春合格品,001,白玻,4.2,3300,2440,0.2
00102470,山西青春合格品,001,白玻,4.2,3300,2250,0.2
00102469,山西青春合格品,001,白玻,4.4,2200,1650,0.2
00102468,三峡白玻一等品,001,白玻,8,3660,2440,0
00102467,三峡白玻一等品,001,白玻,8,3660,2140,0
00102466,三峡白玻一等品,001,白玻,5,3660,2440,0
00102465,三峡白玻一等品,001,白玻,5,3660,2280,0
00102464,三峡白玻一等品,001,白玻,5,3660,2140,0
00102463,三峡白玻合格品,001,白玻,5,3660,2440,0
00102462,三峡白玻合格品,001,白玻,5,3660,2280,0
00102461,三峡白玻合格品,001,白玻,4,3660,2440,0
00102460,青岛台玻一等品,001,白玻,5,3660,2440,0
00102459,青岛台玻一等品,001,白玻,5,3660,2134,0
00102458,青岛台玻一等品,001,白玻,5,3300,2440,0
00102457,青岛台玻一等品,001,白玻,5,3300,2134,0
00102456,青岛台玻混装品,001,白玻,5,3300,2440,0.2
00102455,青岛台玻合格品,001,白玻,5,3300,2134,0
00102454,青春一等品,001,白玻,5,3300,2250,0.2
00102453,青春一等品,001,白玻,4.3,3300,2600,0
00102452,青春一等品,001,白玻,4.3,3300,2440,0.2
00102451,青春一等品,001,白玻,4.3,3300,2250,0
00102450,青春一等品,001,白玻,4.3,3100,2440,0
00102449,秦皇岛耀华普白普通级,001,白玻,10,3660,2440,0.2
00102448,秦皇岛耀华白玻一等品,001,白玻,3,3032,2440,0
00102447,秦皇岛耀华白玻一等品,001,白玻,3,3024,2440,0
00102446,秦皇岛耀华白玻合格品,001,白玻,3,3032,2440,0
00102445,秦皇岛耀华白玻合格品,001,白玻,3,3024,2440,0
00102444,迁安白玻一等品,001,白玻,5,3660,2140,0
00102443,濮阳中建材一等品过渡色,001,白玻,7.2,3660,2440,0.2
00102442,濮阳中建材普白普通级,001,白玻,5,3660,2140,0.2
00102441,宁夏金晶白玻一等品,001,白玻,12,3660,2440,0
00102440,宁夏金晶白玻一等品,001,白玻,5,3660,2600,0
00102439,宁夏金晶白玻一等品,001,白玻,4.6,3660,2800,0
00102438,宁夏金晶白玻一等品,001,白玻,4.6,3660,2600,0.2
00102437,宁夏金晶白玻一等品,001,白玻,4.6,3660,2440,0
00102436,宁夏金晶白玻一等品,001,白玻,4,3660,2440,0.25
00102435,宁夏金晶白玻一等品,001,白玻,4,3660,2140,0.25
00102434,宁夏金晶白玻建筑级,001,白玻,5,3660,2440,0.2
00102433,宁夏金晶白玻建筑级,001,白玻,4.6,3660,2440,0
00102432,内蒙古玉晶一等品,001,白玻,12,4880,2800,0
00102431,内蒙古玉晶一等品,001,白玻,12,4880,2600,0
00102430,内蒙古玉晶一等品,001,白玻,12,4880,2440,0.4
00102429,内蒙古玉晶一等品,001,白玻,12,3660,2800,0.4
00102428,内蒙古玉晶一等品,001,白玻,12,3660,2740,0
00102427,内蒙古玉晶一等品,001,白玻,12,3660,2600,0.4
00102426,内蒙古玉晶一等品,001,白玻,12,3660,2440,0.4
00102425,内蒙古玉晶一等品,001,白玻,12,3660,2280,0.4
00102424,内蒙古玉晶一等品,001,白玻,12,3660,2250,0.4
00102423,内蒙古玉晶一等品,001,白玻,12,3660,2140,0.4
00102422,内蒙古玉晶一等品,001,白玻,10,4880,3050,0
00102421,内蒙古玉晶一等品,001,白玻,10,4880,3000,0
00102420,内蒙古玉晶一等品,001,白玻,10,4880,2900,0
00102419,内蒙古玉晶一等品,001,白玻,10,4880,2800,0
00102418,内蒙古玉晶一等品,001,白玻,10,4580,3000,0
00102417,内蒙古玉晶一等品,001,白玻,10,4580,2800,0
00102416,内蒙古玉晶一等品,001,白玻,10,4580,2440,0
00102415,内蒙古玉晶一等品,001,白玻,10,4280,2440,0.4
00102414,内蒙古玉晶一等品,001,白玻,10,4200,2140,0.4
00102413,内蒙古玉晶一等品,001,白玻,10,3660,2800,0.4
00102412,内蒙古玉晶一等品,001,白玻,10,3660,2740,0.4
00102411,内蒙古玉晶一等品,001,白玻,10,3660,2600,0.4
00102410,内蒙古玉晶一等品,001,白玻,10,3660,2440,0.4
00102409,内蒙古玉晶一等品,001,白玻,10,3660,2280,0
00102408,内蒙古玉晶一等品,001,白玻,10,3660,2250,0.4
00102407,内蒙古玉晶一等品,001,白玻,10,3660,2140,0.4
00102406,内蒙古玉晶一等品,001,白玻,8,4880,3300,0
00102405,内蒙古玉晶一等品,001,白玻,8,4880,3050,0
00102404,内蒙古玉晶一等品,001,白玻,8,4880,3000,0
00102403,内蒙古玉晶一等品,001,白玻,8,4880,2900,0
00102402,内蒙古玉晶一等品,001,白玻,8,4880,2800,0
00102401,内蒙古玉晶一等品,001,白玻,8,4880,2700,0
00102400,内蒙古玉晶一等品,001,白玻,8,4880,2440,0
00102399,内蒙古玉晶一等品,001,白玻,8,4580,3050,0
00102398,内蒙古玉晶一等品,001,白玻,8,4580,3000,0
00102397,内蒙古玉晶一等品,001,白玻,8,4580,2800,0
00102396,内蒙古玉晶一等品,001,白玻,8,3660,2800,0.2
00102395,内蒙古玉晶一等品,001,白玻,8,3660,2740,0
00102394,内蒙古玉晶一等品,001,白玻,8,3660,2600,0.2
00102393,内蒙古玉晶一等品,001,白玻,8,3660,2440,0
00102392,内蒙古玉晶一等品,001,白玻,8,3660,2440,0.2
00102391,内蒙古玉晶一等品,001,白玻,8,3660,2280,0.4
00102390,内蒙古玉晶一等品,001,白玻,8,3660,2250,0.2
00102389,内蒙古玉晶一等品,001,白玻,8,3660,2140,0.2
00102388,内蒙古玉晶一等品,001,白玻,8,3660,2003,0.2
00102387,内蒙古玉晶一等品,001,白玻,8,3600,2140,0.2
00102386,内蒙古玉晶一等品,001,白玻,8,3300,2440,0
00102385,内蒙古玉晶一等品,001,白玻,8,3300,2140,0
00102384,内蒙古玉晶一等品,001,白玻,7.5,3660,2740,0.2
00102383,内蒙古玉晶一等品,001,白玻,7.5,3660,2600,0.2
00102382,内蒙古玉晶一等品,001,白玻,7.5,3660,2440,0
00102381,内蒙古玉晶一等品,001,白玻,7.5,3660,2440,0.2
00102380,内蒙古玉晶一等品,001,白玻,7.4,3660,2800,0.2
00102379,内蒙古玉晶一等品,001,白玻,7.4,3660,2440,0.2
00102378,内蒙古玉晶一等品,001,白玻,7.2,3660,2440,0.2
00102377,内蒙古玉晶一等品,001,白玻,7.2,3660,2250,0.2
00102376,内蒙古玉晶一等品,001,白玻,7,3660,2440,0
00102375,内蒙古玉晶一等品,001,白玻,7,3660,2440,0.2
00102374,内蒙古玉晶一等品,001,白玻,7,3660,2250,0.2
00102373,内蒙古玉晶一等品,001,白玻,7,3660,2140,0
00102372,内蒙古玉晶一等品,001,白玻,6,4880,3050,0
00102371,内蒙古玉晶一等品,001,白玻,6,4880,3000,0
00102370,内蒙古玉晶一等品,001,白玻,6,4880,2800,0
00102369,内蒙古玉晶一等品,001,白玻,6,4880,2600,0
00102368,内蒙古玉晶一等品,001,白玻,6,4580,2600,0
00102367,内蒙古玉晶一等品,001,白玻,6,3660,2800,0.2
00102366,内蒙古玉晶一等品,001,白玻,6,3660,2740,0
00102365,内蒙古玉晶一等品,001,白玻,6,3660,2600,0.2
00102364,内蒙古玉晶一等品,001,白玻,6,3660,2440,0.2
00102363,内蒙古玉晶一等品,001,白玻,6,3660,2280,0.2
00102362,内蒙古玉晶一等品,001,白玻,6,3660,2250,0
00102361,内蒙古玉晶一等品,001,白玻,6,3660,2140,0
00102360,内蒙古玉晶一等品,001,白玻,6,3300,2740,0
00102359,内蒙古玉晶一等品,001,白玻,6,3300,2600,0
00102358,内蒙古玉晶一等品,001,白玻,6,3300,2440,0
00102357,内蒙古玉晶一等品,001,白玻,6,3300,2140,0.2
00102356,内蒙古玉晶一等品,001,白玻,5,3660,2800,0.2
00102355,内蒙古玉晶一等品,001,白玻,5,3660,2740,0.2
00102354,内蒙古玉晶一等品,001,白玻,5,3660,2600,0.2
00102353,内蒙古玉晶一等品,001,白玻,5,3660,2440,0
00102352,内蒙古玉晶一等品,001,白玻,5,3660,2440,0.2
00102351,内蒙古玉晶一等品,001,白玻,5,3660,2280,0.2
00102350,内蒙古玉晶一等品,001,白玻,5,3660,2250,0
00102349,内蒙古玉晶一等品,001,白玻,5,3660,2140,0
00102348,内蒙古玉晶一等品,001,白玻,5,3300,2740,0
00102347,内蒙古玉晶一等品,001,白玻,5,3300,2600,0
00102346,内蒙古玉晶一等品,001,白玻,5,3300,2440,0
00102345,内蒙古玉晶一等品,001,白玻,5,3300,2280,0
00102344,内蒙古玉晶一等品,001,白玻,4.6,3660,2800,0.2
00102343,内蒙古玉晶一等品,001,白玻,4.6,3660,2600,0.2
00102342,内蒙古玉晶一等品,001,白玻,4.6,3660,2440,0.2
00102341,内蒙古玉晶一等品,001,白玻,4.6,3660,2280,0.2
00102340,内蒙古玉晶一等品,001,白玻,4.5,3660,2800,0.2
00102339,内蒙古玉晶一等品,001,白玻,4.5,3660,2600,0.2
00102338,内蒙古玉晶一等品,001,白玻,4.5,3660,2440,0.2
00102337,内蒙古玉晶一等品,001,白玻,4.5,3660,2280,0.2
00102336,内蒙古玉晶一等品,001,白玻,4.5,2440,2000,0
00102335,内蒙古玉晶一等品,001,白玻,4.5,2440,1830,0
00102334,内蒙古玉晶一等品,001,白玻,4.4,3660,2600,0.2
00102333,内蒙古玉晶一等品,001,白玻,4.4,3660,2440,0.2
00102332,内蒙古玉晶一等品,001,白玻,4.3,3660,2600,0.2
00102331,内蒙古玉晶一等品,001,白玻,4.3,3660,2440,0.2
00102330,内蒙古玉晶一等品,001,白玻,4.3,3660,2280,0.2
00102329,内蒙古玉晶一等品,001,白玻,4,4880,2900,0
00102328,内蒙古玉晶一等品,001,白玻,4,3660,2440,0.2
00102327,内蒙古玉晶一等品,001,白玻,4,2440,2000,0.2
00102326,内蒙古玉晶一等品,001,白玻,3.7,2440,2000,0
00102325,内蒙古玉晶一等品,001,白玻,3.7,2440,1830,0
00102324,内蒙古玉晶一等品,001,白玻,3.6,2440,2000,0.25
00102323,内蒙古玉晶一等品,001,白玻,3.6,2440,1830,0.25
00102322,内蒙古玉晶一等品,001,白玻,3.6,2400,1800,0
00102321,内蒙古玉晶一等品,001,白玻,3.5,3660,2440,0
00102320,内蒙古玉晶一等品,001,白玻,3.5,3660,2440,0.2
00102319,内蒙古玉晶一等品,001,白玻,3.5,3660,2200,0
00102318,内蒙古玉晶一等品,001,白玻,3.5,3660,2000,0
00102317,内蒙古玉晶一等品,001,白玻,3.5,3600,2250,0
00102316,内蒙古玉晶一等品,001,白玻,3.5,2440,2050,0.2
00102315,内蒙古玉晶一等品,001,白玻,3.5,2440,2030,0.2
00102314,内蒙古玉晶一等品,001,白玻,3.5,2440,2000,0
00102313,内蒙古玉晶一等品,001,白玻,3.5,2440,1830,0
00102312,内蒙古玉晶一等品,001,白玻,3.5,2250,2140,0
00102311,内蒙古玉晶一等品,001,白玻,3.5,2200,2000,0
00102310,内蒙古玉晶一等品,001,白玻,3.5,2200,1830,0
00102309,内蒙古玉晶一等品,001,白玻,3,2440,1830,0.2
00102308,内蒙古玉晶一等品,001,白玻,2.6,2440,2000,0
00102307,内蒙古玉晶一等品,001,白玻,2.6,2440,1830,0
00102306,内蒙古玉晶一等品,001,白玻,1.7,2440,2000,0.2
00102305,内蒙古玉晶一等品,001,白玻,1.6,2200,1830,0.1
00102304,内蒙古玉晶协议品,001,白玻,12,3660,2600,0.4
00102303,内蒙古玉晶协议品,001,白玻,8,3660,2440,0.2
00102302,内蒙古玉晶协议品,001,白玻,5,3660,2600,0.2
00102301,内蒙古玉晶协议品,001,白玻,5,3660,2440,0.2
00102300,内蒙古玉晶协议品,001,白玻,3.5,2440,1830,0
00102299,内蒙古玉晶协议品,001,白玻,3.5,2200,1900,0
00102298,内蒙古玉晶协议品,001,白玻,3.5,2200,1830,0
00102297,内蒙古玉晶合格品,001,白玻,12,3660,2800,0.4
00102296,内蒙古玉晶合格品,001,白玻,12,3660,2600,0.4
00102295,内蒙古玉晶合格品,001,白玻,12,3660,2280,0.4
00102294,内蒙古玉晶合格品,001,白玻,10,3660,2740,0.4
00102293,内蒙古玉晶合格品,001,白玻,8,3660,2600,0
00102292,内蒙古玉晶合格品,001,白玻,6,3660,2800,0.2
00102291,内蒙古玉晶合格品,001,白玻,6,3660,2600,0
00102290,内蒙古玉晶合格品,001,白玻,6,3660,2440,0.2
00102289,内蒙古玉晶合格品,001,白玻,6,3660,2280,0
00102288,内蒙古玉晶合格品,001,白玻,5,3660,2800,0
00102287,内蒙古玉晶合格品,001,白玻,5,3660,2440,0.2
00102286,内蒙古玉晶合格品,001,白玻,5,3660,2140,0
00102285,内蒙古玉晶合格品,001,白玻,4.6,3660,2800,0.2
00102284,内蒙古玉晶合格品,001,白玻,4.6,3660,2440,0.2
00102283,内蒙古玉晶合格品,001,白玻,4.5,3660,2600,0.2
00102282,内蒙古玉晶合格品,001,白玻,4.5,3660,2440,0.2
00102281,内蒙古玉晶合格品,001,白玻,4.5,2440,1900,0.2
00102280,内蒙古玉晶合格品,001,白玻,4.3,3660,2440,0.2
00102279,内蒙古玉晶合格品,001,白玻,3.5,3660,2200,0.2
00102278,内蒙古玉晶合格品,001,白玻,5,3660,2600,0
00102277,明轩白玻一等品,001,白玻,11.6,4000,2746,0
00102276,明轩白玻一等品,001,白玻,11.6,4000,2440,0
00102275,明轩白玻一等品,001,白玻,11.6,3660,2746,0
00102274,明轩白玻一等品,001,白玻,11.6,3660,2440,0
00102273,明轩白玻一等品,001,白玻,9.6,3660,2630,0
00102272,明轩白玻一等品,001,白玻,9.6,3300,2630,0
00102271,明轩白玻一等品,001,白玻,9.6,3050,2630,0
00102270,明轩白玻一等品,001,白玻,9.6,3050,2250,0
00102269,明轩白玻一等品,001,白玻,8,3660,2746,0
00102268,明轩白玻一等品,001,白玻,8,3050,2250,0
00102267,明轩白玻协议品,001,白玻,6,3660,2746,0
00102266,明轩白玻协议品,001,白玻,6,3660,2630,0
00102265,明轩白玻协议品,001,白玻,6,3660,2440,0
00102264,明轩白玻协议品,001,白玻,6,3660,2250,0
00102263,明轩白玻协议品,001,白玻,6,3660,2140,0
00102262,明轩白玻合格品,001,白玻,6,3660,2630,0
00102261,明轩白玻合格品,001,白玻,6,3660,2440,0
00102260,洛阳龙昊白玻一等品,001,白玻,10,3660,2800,0
00102259,洛阳龙昊白玻一等品,001,白玻,10,3660,2600,0
00102258,洛阳龙昊白玻一等品,001,白玻,10,3660,2440,0
00102257,洛阳龙昊白玻一等品,001,白玻,9.8,3660,2440,0
00102256,洛阳龙昊白玻一等品,001,白玻,8,3660,2800,0
00102255,洛阳龙昊白玻一等品,001,白玻,8,3660,2600,0
00102254,洛阳龙昊白玻一等品,001,白玻,8,3660,2440,0
00102253,洛阳龙昊白玻一等品,001,白玻,8,3660,2250,0
00102252,洛阳龙昊白玻一等品,001,白玻,8,3660,2140,0
00102251,洛阳龙昊白玻一等品,001,白玻,8,3300,2440,0
00102250,洛阳龙昊白玻一等品,001,白玻,7.5,3660,2440,0.3
00102249,洛阳龙昊白玻一等品,001,白玻,7.2,3660,2440,0
00102248,洛阳龙昊白玻一等品,001,白玻,7.2,3660,2250,0
00102247,洛阳龙昊白玻一等品,001,白玻,7.2,3660,2000,0
00102246,洛阳龙昊白玻一等品,001,白玻,6,3660,2800,0
00102245,洛阳龙昊白玻一等品,001,白玻,6,3660,2740,0
00102244,洛阳龙昊白玻一等品,001,白玻,6,3660,2600,0
00102243,洛阳龙昊白玻一等品,001,白玻,6,3660,2440,0
00102242,洛阳龙昊白玻一等品,001,白玻,6,3660,2250,0
00102241,洛阳龙昊白玻一等品,001,白玻,6,3660,2140,0
00102240,洛阳龙昊白玻一等品,001,白玻,6,3300,2600,0
00102239,洛阳龙昊白玻一等品,001,白玻,6,3300,2250,0
00102238,洛阳龙昊白玻一等品,001,白玻,6,3300,2140,0
00102237,洛阳龙昊白玻一等品,001,白玻,5.9,3660,2600,0
00102236,洛阳龙昊白玻一等品,001,白玻,5.9,3660,2440,0
00102235,洛阳龙昊白玻一等品,001,白玻,5.9,3660,2250,0
00102234,洛阳龙昊白玻一等品,001,白玻,5,3660,2800,0
00102233,洛阳龙昊白玻一等品,001,白玻,5,3660,2740,0
00102232,洛阳龙昊白玻一等品,001,白玻,5,3660,2600,0
00102231,洛阳龙昊白玻一等品,001,白玻,5,3660,2440,0
00102230,洛阳龙昊白玻一等品,001,白玻,5,3660,2250,0
00102229,洛阳龙昊白玻一等品,001,白玻,5,3660,2140,0
00102228,洛阳龙昊白玻一等品,001,白玻,5,3300,2800,0
00102227,洛阳龙昊白玻一等品,001,白玻,5,3300,2600,0
00102226,洛阳龙昊白玻一等品,001,白玻,5,3300,2440,0
00102225,洛阳龙昊白玻一等品,001,白玻,5,3300,2250,0
00102224,洛阳龙昊白玻一等品,001,白玻,5,3300,2140,0
00102223,洛阳龙昊白玻一等品,001,白玻,5,3300,2134,0
00102222,洛阳龙昊白玻一等品,001,白玻,4.9,3660,2600,0
00102221,洛阳龙昊白玻一等品,001,白玻,4.9,3660,2440,0
